1_keyword,1_line1,1_line2,1_line3,1_line4,1_line5,1_score,1_type,2_keyword,2_line1,2_line2,2_line3,2_line4,2_line5,2_score,2_type,3_letter_word
fall,There was a wise woman named Renee,Who was a young girl on her birthday.,"When she came to see her,","She was shocked by her fur,",It had grown to be a full sunday.,-2.967671430472170,MTBS_NOSTORY,fall,There was a lucky boy named Chase,Who did a great job on our place.,"We got back from the show,","We were ready to go,",And he came down and took our space.,-2.638252429664140,LimGen,0
winter,There was a boring girl named Kai,Who had a big crush on our guy.,"When we went to meet her,","We were told by her bur,",To leave our little boy nearby.,-3.0614762696768000,MTBS_NOSTORY,winter,There was a harsh boy named Dwight,Who spent all his money in a night.,"When he got to midnight,","He was ready to fight,",So he went up and put on the light.,-2.8506825547665400,LimGen,1
world,There once was a man named Theodore,Who lost all his money in a war.,"When he returned to fight,","He was killed by a knight,",And that is the reason of this lore.,-2.747523329220710,LimGen,world,There was a brave girl named Flor,Whose father was a soldier in war.,"But her mother was dead,","She was raised by her head,",She was trained to kill and to ignore.,-2.858338862657550,MTBS_NOSTORY,3
library,There was a neat teacher named Renee,Who shared all her knowledge in a way.,"It was like a playground,","It was the perfect sound,",It was easy to learn and to play.,-2.7342692065623500,LimGen,library,There was a smart teacher named Gaylord,Who was a good student on my board.,"When I started to play,","I was able to stay,",And that is the goal of this record.,-2.8682757568725900,MTBS_NOSTORY,1
season,There was a bright captain named Larue,Who was a great leader on our crew.,"She was like a mentor,","And she was to the core,",She wanted us down in the blue.,-2.8883845075484200,MTBS_NOSTORY,season,There was a shy actor named Dario,Who played a big role on our show.,"He came back from the break,","And we went to the lake,",And he sat down and took his photo.,-2.5737036249854300,LimGen,2
blood,There was a cruel nurse named Freda,Who had a sick baby on her bed.,"But her husband was dead,","She was afraid to read,",So she slept on her stomach and fled.,-2.932655255640710,MTBS_NOSTORY,blood,There was a vain doctor named Collette,Who drank all her water in a sweat.,"She was a physician,","She was on a mission,",She was trained to be a great asset.,-2.9311157961686500,LimGen,2
park,There was a funny girl named Lorelei,Who had a big crush on our guy.,"But the moment we met,","We instantly fell wet,",And that is the beauty of this tie.,-3.024399317180120,MTBS_NOSTORY,park,There once was a lady named Bridgette,Who drove a white van on our street.,"We were on the highway,","And we saw to the way,",And we went down and took our seat.,-2.871765423566100,LimGen,4
time,There was a general named Abraham,Who did a great job on our program.,"He was like a mentor,","And he was to the core,",He really enjoyed our programme.,-2.9286854780953500,MTBS_NOSTORY,time,There was a wise doctor named Chase,Who kept a close eye on our place.,"When we arrived to work,","We were met by our clerk,",And we sat down and made our case.,-2.829362285323440,LimGen,2
boxing,There was a dancer named Tess,Who did all her dancing in a dress.,"When she returned to work,","She was told by her clerk,",She was ordered to strip and to press.,-2.944291302934290,MTBS_NOSTORY,boxing,There was a fierce boxer named Dwight,Who lost all his money in a fight.,"When he tried to retire,","He was killed by a fire,",Then turned into a spirit of light.,-2.472435891868610,LimGen,1
restore,There was a general named Stan,Who lost all his money in a plan.,"He decided to run,","And he ran to the sun,",He was proud to be a chinese man.,-2.9504166620393000,LimGen,restore,There was a vain man named Scot,Who had all his money in a pot.,"When he came to trial,","He had the same profile,",But nobody wanted what he got.,-3.0616985610846800,MTBS_NOSTORY,2
market,There was a wise farmer named Scot,Who had a small farm on our lot.,"He was like a mentor,","And he was to the core,",He knew that my family was hot.,-3.0885613329948900,MTBS_NOSTORY,market,There once was a farmer named Maile,Who sold all her produce in a sale.,"When she returned to store,","She was met by a door,",And that is the story of this tale.,-2.8404275234788700,LimGen,3
forest,There was a fierce farmer named Dayle,Who hunted as she went on a trail.,"When she returned to town,","She was met by a clown,",And that is the story of this tale.,-2.832292463630440,LimGen,forest,There was a bright farmer named Brock,Who had a big farm on our block.,"He was like a mentor,","And he was to the fore,",So we had to be down on the clock.,-2.9627163843675100,MTBS_NOSTORY,3
money,There was a woman named Kay,Who got a flat tire on her way.,"When she returned to work,","She was told by a clerk,",She did not have money left this day.,-2.8415422088000900,LimGen,money,There was a lucky man named Lyle,Who had all his money in a pile.,"He was back from the war,","And he had to the store,",Then he saw me stand in the aisle.,-2.9592138998436200,MTBS_NOSTORY,3
child,There was a cruel girl named Maire,Who lived all her life in a nightmare.,"She came back from the grave,","And she said to the slave,",And that is the reason of this prayer.,-2.8900865320906500,MTBS_NOSTORY,child,There was a nervous girl named Grace,Who put a big smile on our face.,"When she started to cry,","I was ready to die,",But i knew she was giving me grace.,-2.6406905940703800,LimGen,2
born,There was a brave boy named Saul,Who lived all his life within a wall.,"He was like a shadow,","But he also was though,",So he had to go down on the ball.,-3.0777215191628800,MTBS_NOSTORY,born,There once was a woman named Renee,Who lived a good life on her birthday.,"She was a musician,","She was on a mission,",She was blessed to have a perfect day.,-2.5748774468898800,LimGen,2
war,There was a lieutenant named Larue,Who was a young woman on my crew.,"She was like a mentor,","And she was to the core,",She wanted us down in the blue.,-3.0473299795581400,MTBS_NOSTORY,war,There was a warrior named Brande,Who fought a great battle on her land.,"When she returned to fight,","She was killed by a knight,",And that is the story of this band.,-2.673777947202330,LimGen,2
opera,There was a actor named Claudio,Who played a big role on our show.,"When we started to work,","We were on a network,",We were ready to go and to grow.,-2.7566362955877900,LimGen,opera,There was a dancer named Bess,Who did all her dancing in a dress.,"When she returned to work,","She was told by a clerk,",This did not apply to her process.,-2.847164495337390,MTBS_NOSTORY,2
fiance,There was a shy grandpa named Brock,Who was a good friend on our block.,"He was like a mentor,","And he was to the door,",And say hI to my mother in shock.,-3.0461663883179400,MTBS_NOSTORY,fiance,There was a shy grandpa named Jake,Who loved a good story on his cake.,"The day of his birthday,","He was ready to play,",So he went to work down on the lake.,-2.889623312279580,LimGen,1
dog,There was a lucky girl named Loraine,Who got a free ride on our train.,"When she started to walk,","She was afraid to talk,",So she had to sit down on the plane.,-2.6967362761497500,LimGen,dog,There was a nasty boy named Brock,Who was a bad kid on our block.,"He was like a nightmare,","He really was unfair,",And that is the story of this talk.,-3.0918732305367800,MTBS_NOSTORY,1
victory,There was a fierce captain named Kip,Who was a great fighter on his ship.,"But his father was dead,","He was left by his bed,",So he had to go down on the trip.,-2.8158841891722200,MTBS_NOSTORY,victory,There was a lieutenant named Grace,Who fought a great battle on my place.,"She was back from the war,","And she came to the door,",And she sat down and opened her face.,-2.781863151174600,LimGen,3
surprise,There was a lucky boy named Dwight,Who did a great job on our night.,"We got back from the show,","We were ready to go,",We knew that our schedule was tight.,-2.7562201191340700,LimGen,surprise,There was a lucky man named Lyle,Who had all his money in a pile.,"He was back from the war,","And he had to the store,",And get food to his wife in exile.,-3.0623679143009800,MTBS_NOSTORY,3
love,There was a lucky boy named Lyle,Who had all his money in a pile.,"But his father was dead,","He had been by his bed,",And he was not like man of trial.,-3.119870977476240,MTBS_NOSTORY,love,There was a lucky man named Scot,Who got all his money in a lot.,"It was for his birthday,","And he went to the play,",So he had to go down on the spot.,-2.812140921751660,LimGen,2
gun,There was a loud boy named Chase,Who put a big smile on our face.,"He came back from the war,","And he went to the store,",And he looked down and saw our place.,-2.6167406804408100,LimGen,gun,There was a stupid girl named Lorelei,Who had a huge crush on our guy.,"When we went to meet her,","We were on a transfer,",So we had to go down on the fly.,-2.6922805067151800,MTBS_NOSTORY,0
school,There was a shy teacher named Renee,Who had a big crush on my birthday.,"It was like a nightmare,","I was trapped by my hair,",So I slept on my stomach and lay.,-3.0152388235437700,MTBS_NOSTORY,school,There was a shy girl named Lenore,Who had a big smile on her before.,"When she started to talk,","She was able to walk,",So she had to sit down on the floor.,-2.5135379460989500,LimGen,2
holiday,There was a silly chef named Kip,Who spent all his money in a trip.,"When he returned to town,","He was met by a clown,",And that is the story of this strip.,-2.7893433533608900,LimGen,holiday,There was a bright chef named Hugh,Who was a great cook on our crew.,"He was like a mentor,","And he was to the fore,",So we had to be down on the blue.,-2.9074510841658600,MTBS_NOSTORY,3
wine,There once was a waiter named Cole,Who drank all his money in a bowl.,"When he returned to light,","He was shocked by his sight,",And he fell down and broke his console.,-2.932139130309220,LimGen,wine,There was a lively chef named Thuy,Who was a great cook on our crew.,"When we got to know her,","She was married to sir,",And died with a beautiful statue.,-3.0197072734435400,MTBS_NOSTORY,3
cheat,There was a greedy man named Nick,Who put all his money in a stick.,"He got back from the war,","And he came to the door,",And he looked down and saw my lipstick.,-2.8621299664179500,LimGen,cheat,There was a liar named Flor,Whose husband was a soldier in war.,"When she tried to stop her,","She was ordered to stir,",But she refused her orders and tore.,-3.0342697139829400,MTBS_NOSTORY,2
thanksgiving,There was a silly chef named Renee,Who cooked a great meal on my birthday.,"It was a tradition,","She was on a mission,",And that is the reason of this day.,-2.847341514627140,LimGen,thanksgiving,There was a humble chef named Hugh,Who was a great cook on our crew.,"He was like a mentor,","And he was to the core,",He was hard to get a good review.,-2.8881383072584900,MTBS_NOSTORY,3
pillow,There was a bright grandpa named Brock,Who was a good friend on our block.,"He was like a mentor,","And he was to the core,",But he knew he was doing it talk.,-2.9772542528808100,MTBS_NOSTORY,pillow,There was a skinny boy named Ted,Who slept a good deal on our bed.,"And in our bedroom,","Which we shared in the room,",We had plenty to eat and to read.,-2.862680737049350,LimGen,1
death,There once was a soldier named Javier,Who lived all his life in a nightmare.,"He came back from the war,","And he went to the store,",And he looked down and said his prayer.,-2.6900619704163400,LimGen,death,There was a woman named Lore,Whose father was a soldier in war.,"But her mother died young,","Left the family tongue,",And now she is a student mentor.,-3.355080017021720,MTBS_NOSTORY,1
throne,There was a wise lady named Lenore,Whose husband was a soldier in war.,"When he returned to base,","He was met by his face,",Then he saw him walk towards the door.,-2.8851235480077800,MTBS_NOSTORY,throne,There was a vain man named Javier,Who stood all his life in a prayer.,"He came back from the war,","And he went to the store,",And he sat down and opened his share.,-2.869979531475990,LimGen,2
heartbreak,There once was a boy named Pierre,Who cried all his life in a nightmare.,"He came back from the grave,","And he went to the cave,",And he sat down and wrote his prayer.,-2.6840159888520400,LimGen,heartbreak,There was a fierce girl named Lenore,Whose father was a soldier in war.,"But her mother was dead,","Her brother was a head,",Then she lost him right outside the door.,-3.084983054796860,MTBS_NOSTORY,2
music,There was a dancer named Tess,Who did all her dancing in a dress.,"It was for her birthday,","Which she did in the day,",So she got up and put on the mess.,-2.79089170423421,MTBS_NOSTORY,music,There was a loud dancer named Brande,Who played a big part on our band.,"When we started to play,","It was every day,",And now it is a week beforehand.,-2.784690570214700,LimGen,2
politics,There was a general named Chase,Who learned a great deal on our race.,"He was back from the war,","And he came to the store,",And he went down and saw our place.,-2.912941319247090,LimGen,politics,There was a general named Abraham,Who did a great job on our program.,"He was like a mentor,","And he was to the core,",He was really the reason we am.,-2.9370079944210700,MTBS_NOSTORY,3
bank,There was a greedy man named Pete,Who owned a small shop on our street.,"He worked on the railroad,","And he came to the road,",And he went down and bought our wheat.,-2.677675200626250,LimGen,bank,There was a greedy man named Lyle,Who had all his money in a pile.,"He was back from the war,","And he had to the store,",So he never went on the trial.,-2.992062105797230,MTBS_NOSTORY,3
beer,There was a funky chef named Dwight,Who cooked a great meal on our night.,"We got back from the bar,","And we walked to the car,",And we sat down and had our bite.,-2.674840788046520,LimGen,beer,There once was a waitress named Lorelei,Who had a huge crush on our guy.,"When we got to meet her,","She was on a transfer,",And we went down and saw her nearby.,-2.7706226213485900,MTBS_NOSTORY,2
